record_type,item_id,business_object,title,question,standard_answer,source_uri,expected_behavior,forbidden_terms,handoff_condition
business_object,OBJ-001,入门验证版客服系统,产品对象,你们最基础的客服系统适合谁？,适合需要先验证官网或私域客服的团队，重点是知识问答、留资和转人工边界。,internal://pack8/sample/business-object,引用产品对象后回答，不承诺真实平台已接通。,禁止承诺官方渠道已授权;禁止承诺平台外发已启用,客户要求真实平台上线或合同承诺时转人工
process_policy,POL-001,本地试跑,本地部署流程,客户怎么启动本地试跑？,先准备客户环境文件，再运行本地启动脚本，系统会检查 Docker、端口、外发关闭和负责人账号。,internal://pack8/sample/local-startup,说明步骤和边界，不要求客户提供真实密钥。,默认密码;静默更新,客户机器无法启动 Docker 时转人工
forbidden_commitment,FORBID-001,售前边界,禁用承诺,能不能保证准确率百分之百？,不能承诺百分之百准确率。试跑阶段会提供题库复测、质量报告和知识缺口修复建议。,internal://pack8/sample/forbidden,明确拒绝绝对化承诺。,百分之百准确;永不出错,客户要求写入合同保证时转人工
handoff_rule,HANDOFF-001,人工接管,转人工规则,什么情况要转人工？,涉及价格合同、退款争议、投诉、平台真实接入、个人隐私或无法从知识库确认的问题，都应转人工。,internal://pack8/sample/handoff,把转人工视作安全处理，不算事实性失败。,自动处理所有问题,命中争议、投诉、合同或隐私
standard_qa,QA-001,共创试跑客服系统,试跑问答 001,第 1 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/001,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-002,共创试跑客服系统,试跑问答 002,第 2 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/002,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-003,共创试跑客服系统,试跑问答 003,第 3 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/003,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-004,共创试跑客服系统,试跑问答 004,第 4 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/004,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-005,共创试跑客服系统,试跑问答 005,第 5 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/005,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-006,共创试跑客服系统,试跑问答 006,第 6 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/006,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-007,共创试跑客服系统,试跑问答 007,第 7 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/007,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-008,共创试跑客服系统,试跑问答 008,第 8 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/008,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-009,共创试跑客服系统,试跑问答 009,第 9 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/009,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-010,共创试跑客服系统,试跑问答 010,第 10 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/010,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-011,共创试跑客服系统,试跑问答 011,第 11 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/011,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-012,共创试跑客服系统,试跑问答 012,第 12 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/012,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-013,共创试跑客服系统,试跑问答 013,第 13 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/013,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-014,共创试跑客服系统,试跑问答 014,第 14 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/014,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-015,共创试跑客服系统,试跑问答 015,第 15 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/015,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-016,共创试跑客服系统,试跑问答 016,第 16 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/016,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-017,共创试跑客服系统,试跑问答 017,第 17 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/017,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-018,共创试跑客服系统,试跑问答 018,第 18 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/018,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-019,共创试跑客服系统,试跑问答 019,第 19 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/019,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-020,共创试跑客服系统,试跑问答 020,第 20 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/020,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-021,共创试跑客服系统,试跑问答 021,第 21 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/021,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-022,共创试跑客服系统,试跑问答 022,第 22 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/022,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-023,共创试跑客服系统,试跑问答 023,第 23 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/023,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-024,共创试跑客服系统,试跑问答 024,第 24 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/024,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-025,共创试跑客服系统,试跑问答 025,第 25 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/025,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-026,共创试跑客服系统,试跑问答 026,第 26 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/026,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-027,共创试跑客服系统,试跑问答 027,第 27 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/027,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-028,共创试跑客服系统,试跑问答 028,第 28 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/028,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
standard_qa,QA-029,共创试跑客服系统,试跑问答 029,第 29 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,internal://pack8/sample/qa/029,引用来源并保持受控试跑边界。,禁止承诺平台外发已启用;禁止承诺正式签收完成,资料缺失或客户要求承诺
