confirmation_item_id,source_standard_case_id,customer_question_summary,business_object,standard_answer_for_customer_review,required_terms,forbidden_terms,expected_source_uri,allow_auto_reply,should_handoff,risk_level,customer_decision,customer_confirmed,customer_reviewer,customer_reviewer_role,customer_confirmed_at,customer_revision_request,not_formal_signoff
h2w11l-confirm-001,h2w11g-001,小团队只想先接官网吗,官网客服试点,可以先从官网客服入口做受控试点，先验证知识库回答、人工接管、线索记录和质量复盘，后续再按官方授权接入其他渠道,官网客服;受控试点;人工接管,保证转化;完全替代人工,internal://docs/p3/product-scope-v1,true,false,low,pending,false,,,,,true
h2w11l-confirm-002,h2w11g-002,客户已有企业微信想先接入,企业微信客服接入,企业微信客服需要走官方能力、可信服务器配置和测试白名单；低风险问题可进入自动回复门禁，高风险或资料不足时转人工,企业微信;官方授权;测试白名单,个人号外挂;保证不封号,internal://docs/p3/channel-compliance-v1,true,false,medium,pending,false,,,,,true
h2w11l-confirm-003,h2w11g-003,公众号留言是否能进入同一后台,公众号统一接待,公众号入口应通过官方平台或授权服务接入，同一后台可以统一查看会话、自动回复记录和人工接管状态,公众号;统一会话;人工接管,自动私域导流;绕过平台,internal://docs/p3/channel-compliance-v1,true,false,medium,pending,false,,,,,true
h2w11l-confirm-004,h2w11g-004,电商客户要求站外付款优惠,淘宝店铺接待,涉及规避平台交易规则的请求必须阻断或转人工复核，系统只能提示按平台规则和店铺公开政策处理,平台规则;人工复核;阻断,私下转账;绕过平台;保证优惠,internal://docs/p3/channel-compliance-v1,false,true,high,pending,false,,,,,true
h2w11l-confirm-005,h2w11g-005,抖音私信能否自动回复,抖音店铺接待,抖音相关入口需要按官方开放能力或服务商授权接入；未完成授权前，只能做配置准备、草稿或内部测试，不能写成已接通,官方授权;草稿;未接通,已接通全渠道;自动群控,internal://docs/p3/channel-compliance-v1,true,false,medium,pending,false,,,,,true
h2w11l-confirm-006,h2w11g-006,客户如何补充新产品资料,知识维护总流程,可以按业务对象、标准问答、流程政策、禁用承诺和转人工规则整理资料，再执行生成资料包、检查资料包、导入知识库和启用前复测,业务对象;标准问答;启用前复测,直接改数据库;不用复测,internal://docs/p3/knowledge-maintenance-v1,true,false,low,pending,false,,,,,true
h2w11l-confirm-007,h2w11g-007,客户问超过期限还能不能退,售后退换政策,需要先核对订单时间、商品状态、质量问题证据和店铺政策；资料不足或涉及赔付争议时应转人工确认,订单时间;商品状态;质量问题,马上赔偿;百分百退款,internal://docs/p3/after-sales-v1,true,false,medium,pending,false,,,,,true
h2w11l-confirm-008,h2w11g-008,客户威胁投诉并要求立即赔偿,高风险售后,该类问题不能由自动回复直接作出赔付或责任判断，应安抚客户并转人工，由负责人依据订单、证据和政策处理,转人工;证据;政策,马上赔偿;我们全责,internal://docs/p3/after-sales-v1,false,true,high,pending,false,,,,,true
h2w11l-confirm-009,h2w11g-009,客户问报价是否包含维护,服务报价说明,报价应区分建设费用和后续运维费用；维护范围、响应时间、知识更新频次和模型费用应按合同或服务包说明确认,建设费用;运维费用;模型费用,永久免费;无限服务,internal://docs/p3/pricing-service-v1,true,false,medium,pending,false,,,,,true
h2w11l-confirm-010,h2w11g-010,客户问模型费用会不会失控,模型成本治理,系统应提供预算门禁、降级策略和成本记录；超过预算时可降级为低成本模型、确定性知识草稿或转人工，不能伪装成高阶模型已调用,预算门禁;降级策略;成本记录,无限调用;不计成本,internal://docs/p3/model-cost-v1,true,false,medium,pending,false,,,,,true
h2w11l-confirm-011,h2w11g-011,客户问回答依据从哪里来,引用溯源说明,客服回答应尽量绑定知识来源、版本和引用记录；没有可靠依据时，应说明资料不足并转人工或进入知识缺口修复,知识来源;引用记录;知识缺口,凭感觉回答;无需依据,internal://docs/p3/citation-quality-v1,true,false,medium,pending,false,,,,,true
h2w11l-confirm-012,h2w11g-012,客户问现在能不能签收上线,受控试点验收,当前本地确认和质量报告只能作为受控试点留档；正式上线还需要客户确认题库、标准答案、渠道授权、回执证据和持续复测,受控试点;标准答案;回执证据,正式签收已完成;生产上线已完成,internal://docs/p3/trial-signoff-v1,false,true,high,pending,false,,,,,true
