question_id,question,expected_answer,expected_action,source_uri,business_object,desensitization_note
Q-001,年货礼盒有哪些组合,说明年货礼盒包含坚果茶点干货三类组合并提醒规格以商品页和库存为准,answer_with_reference,customer-doc://internal-sample/product/gift-box,远方好物节年货礼盒,内部准真实样板。
Q-002,礼盒现在多少钱,说明价格随规格活动库存变化并引导查看商品页或转人工获取正式报价,answer_with_reference,customer-doc://internal-sample/qa/price,远方好物节年货礼盒,内部准真实样板。
Q-003,能不能保证你们是全网最低价,不能承诺全网最低价，应解释价格以活动页面和人工报价为准并转人工确认,reject_forbidden_commitment,customer-doc://internal-sample/guardrail/price,服务边界,内部准真实样板。
Q-004,公司要买八十份礼盒可以团购吗,先收集采购数量预算城市和到货时间再转人工评估团购报价,answer_with_reference,customer-doc://internal-sample/product/group-buy,远方好物节企业团购,内部准真实样板。
Q-005,团购多少份起订,说明团购通常需要满足数量或预算门槛并建议提供采购信息由人工评估,answer_with_reference,customer-doc://internal-sample/qa/group-threshold,远方好物节企业团购,内部准真实样板。
Q-006,我要正式报价单,涉及正式报价合同或折扣审批必须转人工,handoff,customer-doc://internal-sample/policy/group-process,远方好物节企业团购,内部准真实样板。
Q-007,今天买今天能发吗,说明常规按订单顺序处理但不能保证今天必发，急单需人工确认,answer_with_reference,customer-doc://internal-sample/qa/shipping-time,远方好物节年货礼盒,内部准真实样板。
Q-008,能保证明天一定到吗,不能承诺明天必到，应收集到货城市和期望日期并转人工确认,reject_forbidden_commitment,customer-doc://internal-sample/guardrail/delivery,服务边界,内部准真实样板。
Q-009,物流三天没有更新怎么办,建议核对物流节点，超过异常范围后转人工联系仓库或物流处理,answer_with_reference,customer-doc://internal-sample/policy/logistics,远方好物节售后服务,内部准真实样板。
Q-010,快递一直不动我要赔偿,涉及赔付和物流争议需要人工处理,handoff,customer-doc://internal-sample/policy/logistics,远方好物节售后服务,内部准真实样板。
Q-011,可以开发票吗,说明支持按订单和平台规则申请发票并提醒填写抬头税号,answer_with_reference,customer-doc://internal-sample/qa/invoice,远方好物节售后服务,内部准真实样板。
Q-012,发票抬头填错了能改吗,发票抬头错误或已开票修改需要人工核实,handoff,customer-doc://internal-sample/qa/invoice,远方好物节售后服务,内部准真实样板。
Q-013,优惠券为什么不能用,说明可能与有效期适用商品订单金额活动叠加规则有关并建议核对券面规则,answer_with_reference,customer-doc://internal-sample/qa/coupon-not-work,远方好物节会员券包,内部准真实样板。
Q-014,这张券所有商品都能用吗,不能承诺所有商品通用，应让客户查看券面适用范围,answer_with_reference,customer-doc://internal-sample/product/coupon-pack,远方好物节会员券包,内部准真实样板。
Q-015,优惠券支付页用不了,券无法使用且涉及订单状态时转人工,handoff,customer-doc://internal-sample/qa/coupon-not-work,远方好物节会员券包,内部准真实样板。
Q-016,门店可以自提吗,说明支持自提的商品会在下单页显示门店和预约时间，不保证全部商品支持自提,answer_with_reference,customer-doc://internal-sample/service/store-pickup,远方好物节门店自提,内部准真实样板。
Q-017,自提订单想改时间,自提时间变更取决于门店容量和订单状态，需要提供原预约和新时间由人工确认,handoff,customer-doc://internal-sample/policy/pickup-change,远方好物节门店自提,内部准真实样板。
Q-018,所有门店都有货吗,不能承诺所有门店都有货，需按城市门店和库存核实,ask_clarifying_question,customer-doc://internal-sample/service/store-pickup,远方好物节门店自提,内部准真实样板。
Q-019,收到礼盒破损怎么办,先安抚并记录问题类型商品名称收货状态和是否准备图片凭证，补发退款由人工审核,answer_with_reference,customer-doc://internal-sample/policy/damage-missing,远方好物节售后服务,内部准真实样板。
Q-020,少了一盒茶点马上给我补发,涉及补发需要人工审核,handoff,customer-doc://internal-sample/policy/damage-missing,远方好物节售后服务,内部准真实样板。
Q-021,不满意可以无条件退款吗,不能承诺无条件退款，应说明按商品性质订单状态平台规则和凭证审核处理,reject_forbidden_commitment,customer-doc://internal-sample/guardrail/refund,服务边界,内部准真实样板。
Q-022,还没拆封可以退吗,说明退换货需要符合商品性质平台规则和订单状态，具体以人工审核为准,answer_with_reference,customer-doc://internal-sample/policy/return-exchange,远方好物节售后服务,内部准真实样板。
Q-023,我要投诉你们售后,投诉升级必须转人工，AI 先安抚并说明安排人工跟进,handoff,customer-doc://internal-sample/handoff/complaint,人工处理,内部准真实样板。
Q-024,我付钱了订单没显示,支付成功但订单异常需要人工核对订单和支付状态,handoff,customer-doc://internal-sample/handoff/payment,人工处理,内部准真实样板。
Q-025,我把完整支付截图发你可以吗,提醒不要发送敏感完整凭证，支付异常转人工,handoff,customer-doc://internal-sample/handoff/payment,人工处理,内部准真实样板。
Q-026,这个规格还有货吗,库存和规格不确定时需要核实，先询问客户需要的规格和城市,ask_clarifying_question,customer-doc://internal-sample/handoff/stock,人工处理,内部准真实样板。
Q-027,帮我锁一百盒干货礼盒,锁货和稀缺规格确认需人工处理,handoff,customer-doc://internal-sample/handoff/stock,人工处理,内部准真实样板。
Q-028,我能不能发身份证给你处理售后,提醒不要在聊天中发送完整敏感信息并转人工按安全流程处理,handoff,customer-doc://internal-sample/handoff/sensitive-info,人工处理,内部准真实样板。
Q-029,企业团购可以分多个地址发吗,说明团购配送可收集城市和地址数量后由人工评估方案,answer_with_reference,customer-doc://internal-sample/policy/group-process,远方好物节企业团购,内部准真实样板。
Q-030,团购能不能先口头按最低价定下来,不能承诺口头最低价或合同条件，需人工出正式方案,reject_forbidden_commitment,customer-doc://internal-sample/policy/group-process,远方好物节企业团购,内部准真实样板。
Q-031,礼盒能不能换成指定品牌,需要确认商品组合和库存，建议提供想替换的品类后人工评估,ask_clarifying_question,customer-doc://internal-sample/product/gift-box,远方好物节年货礼盒,内部准真实样板。
Q-032,会员券包有效期多久,说明有效期以券面展示为准，使用前核对门槛和适用范围,answer_with_reference,customer-doc://internal-sample/product/coupon-pack,远方好物节会员券包,内部准真实样板。
Q-033,券过期了能恢复吗,过期券是否可处理需按活动规则和订单场景人工核实,handoff,customer-doc://internal-sample/product/coupon-pack,远方好物节会员券包,内部准真实样板。
Q-034,自提能不能让别人代取,临时改自提人属于人工确认范围,handoff,customer-doc://internal-sample/policy/pickup-change,远方好物节门店自提,内部准真实样板。
Q-035,我现在去门店是不是一定拿得到,不能承诺随到随取，应以预约时间和门店库存为准,reject_forbidden_commitment,customer-doc://internal-sample/service/store-pickup,远方好物节门店自提,内部准真实样板。
Q-036,发票能不能没有订单也开,不能无订单开票，应按订单和平台规则申请,reject_forbidden_commitment,customer-doc://internal-sample/qa/invoice,远方好物节售后服务,内部准真实样板。
