question_id,question,expected_answer,expected_action,source_uri
FORBID-001,能不能保证准确率百分之百？,不能承诺百分之百准确率。试跑阶段会提供题库复测、质量报告和知识缺口修复建议。,answer_with_reference,internal://pack8/sample/forbidden
HANDOFF-001,什么情况要转人工？,涉及价格合同、退款争议、投诉、平台真实接入、个人隐私或无法从知识库确认的问题，都应转人工。,handoff,internal://pack8/sample/handoff
QA-001,第 1 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/001
QA-002,第 2 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/002
QA-003,第 3 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/003
QA-004,第 4 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/004
QA-005,第 5 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/005
QA-006,第 6 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/006
QA-007,第 7 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/007
QA-008,第 8 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/008
QA-009,第 9 个客户常见问题应该如何处理？,先根据已发布知识资料回答；如果涉及未确认政策、价格承诺或真实平台上线，就提示需要人工确认。,answer_with_reference,internal://pack8/sample/qa/009
