record_type,item_id,business_object,title,question,standard_answer,source_uri,expected_behavior,forbidden_terms,handoff_condition,desensitization_note
business_object,OBJ-001,远方好物节年货礼盒,礼盒内容,这个年货礼盒里面有什么,远方好物节年货礼盒包含坚果礼盒茶点礼盒和干货礼盒三类组合，具体规格以当前商品页和门店库存为准。客户询问时先说明礼盒类别，再提示下单前确认规格和配送城市。,customer-doc://internal-sample/product/gift-box,引用来源后回答，规格不确定时转人工。,最低价;百分百保证,客户要求锁定库存或指定稀缺规格时转人工。,内部准真实样板，未包含真实个人信息。
business_object,OBJ-002,远方好物节企业团购,企业团购服务,公司能不能批量采购礼盒,企业团购支持按预算和配送城市配置礼盒方案，可先收集采购数量预算区间和期望到货时间，再由人工确认报价和库存。系统不能自动承诺最终折扣。,customer-doc://internal-sample/product/group-buy,引用来源后回答，涉及报价时转人工。,最低价;专属最低折扣,客户要求正式报价合同或开票抬头时转人工。,内部准真实样板，未包含真实个人信息。
business_object,OBJ-003,远方好物节会员券包,会员券包说明,会员券包怎么用,会员券包用于指定商品或活动场景，使用前需要满足券面门槛和有效期。客户询问时说明查看路径和限制条件，无法判断券状态时转人工。,customer-doc://internal-sample/product/coupon-pack,引用来源后回答，券状态不明时转人工。,无门槛通用;永久有效,客户反馈券无法使用或订单异常时转人工。,内部准真实样板，未包含真实个人信息。
business_object,OBJ-004,远方好物节门店自提,门店自提服务,可以到店自提吗,支持自提的商品会在下单页显示自提门店和可预约时间。客户需要先确认城市门店和商品库存，系统不能保证所有商品都支持自提。,customer-doc://internal-sample/service/store-pickup,引用来源后回答，门店库存不明时转人工。,所有门店都有货;随到随取,客户要求跨店调货或临时改自提人时转人工。,内部准真实样板，未包含真实个人信息。
business_object,OBJ-005,远方好物节售后服务,售后服务范围,售后能处理哪些问题,售后支持破损少件错发物流异常和发票信息修正等问题。客户需提供脱敏订单线索和问题类型，涉及补发退款赔付由人工按政策确认。,customer-doc://internal-sample/service/after-sales,引用来源后回答，涉及赔付退款时转人工。,无条件退款;马上赔付,客户投诉或要求赔偿时转人工。,内部准真实样板，未包含真实个人信息。
standard_qa,QA-001,远方好物节年货礼盒,价格咨询,礼盒多少钱,礼盒价格会按规格活动和库存变化，客服可以引导客户查看当前商品页或提供预算区间后由人工推荐。不能自动承诺最低价或永久优惠。,customer-doc://internal-sample/qa/price,引用来源后回答，价格争议转人工。,最低价;永久优惠,客户要求正式报价或折扣审批时转人工。,内部准真实样板，未包含真实个人信息。
standard_qa,QA-002,远方好物节年货礼盒,发货时间,今天买什么时候发货,常规现货商品一般按订单顺序处理，具体发货时间以仓库和活动高峰情况为准。客户急用时应收集到货城市和期望日期并转人工确认。,customer-doc://internal-sample/qa/shipping-time,引用来源后回答，急单转人工。,今天必发;明天必到,客户要求保证到货日期时转人工。,内部准真实样板，未包含真实个人信息。
standard_qa,QA-003,远方好物节企业团购,团购门槛,团购多少起订,企业团购通常需要达到一定数量或预算才适合走专属方案。客户可先留下采购数量预算和交付城市，由人工评估是否符合团购条件。,customer-doc://internal-sample/qa/group-threshold,引用来源后回答，涉及报价转人工。,无门槛团购;一定最便宜,客户要正式团购报价时转人工。,内部准真实样板，未包含真实个人信息。
standard_qa,QA-004,远方好物节售后服务,发票问题,可以开发票吗,支持按订单和平台规则申请发票，发票类型抬头和税号需要客户按页面要求填写。抬头错误或已开票修改需人工核实。,customer-doc://internal-sample/qa/invoice,引用来源后回答，发票异常转人工。,随便改票;无订单开票,客户要求修改抬头或补开发票时转人工。,内部准真实样板，未包含真实个人信息。
standard_qa,QA-005,远方好物节会员券包,优惠券问题,优惠券为什么不能用,优惠券不可用通常与有效期适用商品订单金额活动叠加规则有关。客服先提醒客户核对券面规则，仍无法判断时转人工查看订单状态。,customer-doc://internal-sample/qa/coupon-not-work,引用来源后回答，券异常转人工。,所有商品通用;一定能叠加,客户反馈支付页无法用券时转人工。,内部准真实样板，未包含真实个人信息。
